Country Name,Series Code,LatestValue
Vanuatu,NY.GDP.MKTP.CD,1117972034.22642
Vanuatu,SP.POP.TOTL,327777
"Venezuela, RB",NY.GDP.MKTP.CD,119802963257.783
"Venezuela, RB",SP.POP.TOTL,28405543
Viet Nam,NY.GDP.MKTP.CD,476388230307.175
Viet Nam,SP.POP.TOTL,100987686
Virgin Islands (U.S.),NY.GDP.MKTP.CD,
Virgin Islands (U.S.),SP.POP.TOTL,104377
West Bank and Gaza,NY.GDP.MKTP.CD,13711100000
West Bank and Gaza,SP.POP.TOTL,5289152
"Yemen, Rep.",NY.GDP.MKTP.CD,
"Yemen, Rep.",SP.POP.TOTL,40583164
Zambia,NY.GDP.MKTP.CD,25303185342.2511
Zambia,SP.POP.TOTL,21314956
Zimbabwe,NY.GDP.MKTP.CD,41539411516.4448
Zimbabwe,SP.POP.TOTL,16634373
Africa Eastern and Southern,NY.GDP.MKTP.CD,1242693542929.85
Africa Eastern and Southern,SP.POP.TOTL,769280888
Africa Western and Central,NY.GDP.MKTP.CD,736384961061.523
Africa Western and Central,SP.POP.TOTL,521764076
Arab World,NY.GDP.MKTP.CD,3735881442514.35
Arab World,SP.POP.TOTL,492612632
Caribbean small states,NY.GDP.MKTP.CD,90344593407.0487
Caribbean small states,SP.POP.TOTL,4539060
Central Europe and the Baltics,NY.GDP.MKTP.CD,2462005273603.48
Central Europe and the Baltics,SP.POP.TOTL,100061963
Early-demographic dividend,NY.GDP.MKTP.CD,15808304487948.1
Early-demographic dividend,SP.POP.TOTL,3552278604
East Asia & Pacific,NY.GDP.MKTP.CD,32017179839273
East Asia & Pacific,SP.POP.TOTL,2388319494
East Asia & Pacific (excluding high income),NY.GDP.MKTP.CD,22260810771875.1
East Asia & Pacific (excluding high income),SP.POP.TOTL,2141122258
East Asia & Pacific (IDA & IBRD countries),NY.GDP.MKTP.CD,22233362919728.4
East Asia & Pacific (IDA & IBRD countries),SP.POP.TOTL,2114653077
Euro area,NY.GDP.MKTP.CD,16485444160371
Euro area,SP.POP.TOTL,351161936
Europe & Central Asia,NY.GDP.MKTP.CD,29291828957768.8
Europe & Central Asia,SP.POP.TOTL,928263208
Europe & Central Asia (excluding high income),NY.GDP.MKTP.CD,2451180144505.47
Europe & Central Asia (excluding high income),SP.POP.TOTL,250281521
Europe & Central Asia (IDA & IBRD countries),NY.GDP.MKTP.CD,6131674441421.64
Europe & Central Asia (IDA & IBRD countries),SP.POP.TOTL,459734030
European Union,NY.GDP.MKTP.CD,19497115588443.6
European Union,SP.POP.TOTL,450228188
Fragile and conflict affected situations,NY.GDP.MKTP.CD,1652895518697.74
Fragile and conflict affected situations,SP.POP.TOTL,1081767572
Heavily indebted poor countries (HIPC),NY.GDP.MKTP.CD,1145111349262.57
Heavily indebted poor countries (HIPC),SP.POP.TOTL,941413026
High income,NY.GDP.MKTP.CD,71321142708251.1
High income,SP.POP.TOTL,1417841927
IBRD only,NY.GDP.MKTP.CD,40930410371533.4
IBRD only,SP.POP.TOTL,4979421568
IDA & IBRD total,NY.GDP.MKTP.CD,43823204664493.9
IDA & IBRD total,SP.POP.TOTL,6926222113
IDA blend,NY.GDP.MKTP.CD,1117411942661.72
IDA blend,SP.POP.TOTL,676957651
IDA only,NY.GDP.MKTP.CD,1775382350298.79
IDA only,SP.POP.TOTL,1269842894
IDA total,NY.GDP.MKTP.CD,2892794292960.5
IDA total,SP.POP.TOTL,1946800545
Late-demographic dividend,NY.GDP.MKTP.CD,29979152245112.6
Late-demographic dividend,SP.POP.TOTL,2328628339
Latin America & Caribbean,NY.GDP.MKTP.CD,7110323254687.35
Latin America & Caribbean,SP.POP.TOTL,662186388
Latin America & Caribbean (excluding high income),NY.GDP.MKTP.CD,6168787362595.33
Latin America & Caribbean (excluding high income),SP.POP.TOTL,594158638
Latin America & the Caribbean (IDA & IBRD countries),NY.GDP.MKTP.CD,6776899040059.78
Latin America & the Caribbean (IDA & IBRD countries),SP.POP.TOTL,647003746
Least developed countries: UN classification,NY.GDP.MKTP.CD,1536272727812.71
Least developed countries: UN classification,SP.POP.TOTL,1187777591
Low & middle income,NY.GDP.MKTP.CD,39397098753614.4
Low & middle income,SP.POP.TOTL,6563501708
